Ulasan;
Sesuai dengan namanya maka BNS hanya buka pada sore menjelang malam hari sampai hampir tengah malam. Tempat ini cocok untuk dikunjungi bersama keluarga ataupun teman. Untuk menuju ke tempat ini kami menggunakan mobil pribadi dari kota Malang. Lahan parkir yang disediakan oleh pengelola luas sehingga tidak sulit untuk mendapatkan tempat parkir kendaraan kami. Banyak wahana di tempat ini seperti lampion garden dan permainan lainnya termasuk wahana kids zone yang khusus ditujukan untuk anak-anak. Tetapi pada kunjungan kami kemarin, kami hanya menikmati lampion garden. Untuk tiket masuk juga cukup murah. Jika merasa haus atau lapar tidak perlu khawatir karena terdapat food court yang menyediakan berbagai jenis makanan dan minuman.;
Batu Night Spektakuler merupakan kawasan hiburan layaknya Dufan saat malam hari di Jakarta, namun ragam permainan nya lebih sedikit. Dilengkapi dengan lampion garden serta laser game, menjadi daya tarik sendiri bagi BNS. Selain itu  tiket yang dijual per wahana (bukan terusan), tentu akan menguntungkan pengunjung karena ramah di kantong;
Konsep permainanya Sama seperti Yang di surabaya, Dan apalagi kalau bertepatan hari libur kita tidak bisa menikmati semua permainan ;
Pas masuk tempat ini, agak diluar ekspektasi sih hehehehe karena ternyata harga tiket masuknya itu cuma bisa digunakan untuk masuk kedalem BNS. Untuk naik ke wahana nya itu, bayar lagi jo! Range 10-25rb lah. Kalo semuanya dinaikin, agak bangkrut ya menurut gue :)));
Bener2  penasaran dgn yg selama ini diiklankan di majalah salah Satu maskapai yg saat itu saya tumpangi.  Akhirnya sy berkesempatan mengunjungi BNS sekitar akhir thn 2014. Penasaran sy hilang dgn cepat stlh melihat wahana yg menurut sy kurang spektakuler (tanggung).  Wahana yg tersedia kurang menantang. Hanya piring terbang yg sedikit berkesan. Sayang tdk ada foto yg bs sy Kirimkan. ;
Wahana yang direkomemendasikan untuk menutup hari setelah marathon wisata di kota batu. Yang paling menarik perhatian disini adalah taman lampionya, jangan lupa membawa kamera untuk berfoto foto di area ini. Yang suka tantangan banyak juga wahana wahana yang menantang disini. Oya tiket untuk masuk wahana tiket terdapat tiket terusan;
suka sekali tempat ini, karena suasananya yang berbeda. kita bisa asik teriak, tertawa menikmati atraksi yang ada di BNS. lain dari obyek wisata yang ada, disini permainan atau atraksinya oke banget (alat-alatnya canggih terawat dan aman). permainan atau atraksinya lengkap dari balita sampe dewasa jadi si anak asik bermain, bapak, ibu dan kakaknya gak bakal bengong karena bosan. bagi yang pingin hiburan tapi kantongnya cekak jangan khawatir, kita tinggal bayar tiket masuk aja. kita bisa berkeliling menikmati atraksi sebagai penonton, tetap bisa ikut bersora-sora happy sambil selfie. apalagi bagi yang hobi piknik dan betah melek, cocok deh. kalo pengen antrean atraksinya gak terlalu panjang dateng aja jam 21.00 wib jadi gak capek and buang waktu buat antri.;
Hallo kali ini saya sedang berada di Batu Night Spectaculer (BNS) Batu, Malang, Jawa Timur, Indonesia. Lokasi yang sangat menarik untuk dikunjungi pada malam hari bersama keluarga dan teman-teman. Lokasinya cukup menarik, hampir mirip seperti pasar malam, banyak aneka lampu warna-warni menjadikan tempatnya sangat indah, dan banyak wahana-wahana untuk dinaiki seperti yang memacu adrenalin dan ada juga yang bisa menikmati keindahan Batu Night Spectaculer (BNS) dengan wahana kereta yang rel lintasannya di ketinggian, suasananya sangat indah sekali pada malam hari, ada taman lampion dan masih banyak lagi wahana-wahana seru yang lainnya.;
BNS diluar ekspetasi saya... dipikir tempatnya akan luar biasa pas datang ke BNS tidak ada yang spesial menurut saya. karena utk masuknya sendiri berbayar. tiket masuk saja di weekend seharga 30rb belum lagi utk arena permainan2 kisaran 20rb ke atas, bagi saya agak mahal utk tempat seperti itu. tapi memang ada cara hemat dgn kasrcis terusan seharga 125 tapi utk wahana nya sendiri tdk ada yang benar2 menarik utk warga jakarta pasti akan berfikir banyak tempat permainan seperti BNS. jadi bagi warga jakarta tdk direkomendasikan ke sini. selain itu juga wahana nya jadi seperti pasar malam.;
Tempatnya tidak begitu luas.. Tetapi lumayan asik krn jam bukanya yg dimalam hari.. Jd ada alternatif taman bermain dengan suasana lain..;
Siapa yang tidak tau BNS. Orang-orang yang pergi ke kota Malang, sebagian besar pasti mampir ke BNS. Tempat ini memang baru buka dari sore hari. Jadi jika ingin puas berwisata di BNS ini, alangkah lebih baiknya jika penginapannya pun di sekitar Batu. Jangan seperti saya yang memilih penginapan di kota Malang, sehingga kurang efektif. Di BNS ini saya cukup puas dengan kulinernya. Bagi penggemar fotografi, tempat ini boleh juga sebagai tempat hunting foto. Tiket masuk ke arena bermain di BNS cukup murah, kalau tidak salah hanya 80ribu. Tapi saya kurang tau apa itu tiket terusan atau tidak. Sebab saya tidak naik wahana apapun disana.;
Masuk dengan tiket sakti. Ternyata untuk naik setiap wahana masih harus bayar dengan rata2 tiket 20ribuan per wahana. Agak kurang worth it lah untuk harganya.;
Tempat ini seru buat bermain,banyak permainan yang butuh keberanian dan jantung yang kuat.Tapi menurut saya yang paling serem adalah uji nyali di rumah hantu.Tapi sayang Toilet di BNS kurang bersih.;
Pemandangan malamnya sangat menarik, dengan taman lampion yang meriah. Banyak permainan, seimbang antara permainan utk anak2 maupun dewasa. Hanya sayang tiket terusannya tidak bisa dipake utk mengulang permainan;
Wahana jg makin banyak & bikin terkesan.paling asyik cinemax &kereta keliling dgn bnyk hantu2.kurang di wahana anak2nya.;
Mengunjungi BNS seperti kembali ke Jakarta Fair tempo dulu. Banyak wahana permainan yang dapat dimasuki melalui tiket terusan maupun tiket tersendiri.;
Selamat untuk Batu ! banyak atraksi wisata, saya surprised, beberapa tahun tidak mengunjungi Batu dan Malang, dan perkembangan luar biasa. Untuk yang bawa anak2, bagus untuk mengunjungi BNS ini, saya juga sempat nonton 4D di sini.;
Taman Lampionnya bagus banget & juga romantis,kita bisa makan sambil nongkrong plus melihat permainan.Ada bioskop mininya juga.Tempat souvenir juga banyak.Sangat recommended utk anak muda/wisatawan keluarga.Jangan lupa bawa jaket yah,karena wisata malam disini bbrrr dingin banget.;
Batu Night Spectacular hanya buka pada waktu malam hari dan merupakn tempat bermain yang buka pada malam hari dan terdapat juga tempat lampion bagi anda yang senang berfoto dengan pembayran terpisah tentunya .;
Tempat hiburan malam untuk rakyat yang bertempat di kota Batu, merupakan satu terobosan di kota wisata untuk mengakomodasi keinginan wisata di malam hari.;
tempatnya masih sepi , tapi untuk hiburan malam lumayan. tempatnya susah dijangkau harus punya kendaraan untuk masuk kedalamnya. waktu itu saya datang dari terminal jadi jalan cukup jauh untuk bisa kesana. ;
Kami kesana beramai-ramai di waktu malam setelah kembali dari Bromo di siang harinya. Long weekend dan buanyak sekali pengunjung di dalamnya. tidak bisa dikategorikan murah, karena setiap permainan atau wahana harus bayar lagi, makanan yang di jualk di dalam rasanya rata-rata bisa dikategorikan cukup, untuk hiburan malam di daerah malang BNS ini sangat digemari.;
Tiket masuk hari biasa adalah Rp. 20,000,- dan untuk weekend adalah Rp. 30,000,- Nanti di dalamnya ada banyak Wahana permainan seperti di Dunia Fantasi. Ditawarkan pula tiket terusan dengan harga Rp. 90,000,- Pengunjung yang tidak membeli tiket terusan diwajibkan untuk membeli tiket lagi saat ingin naik wahana permainan. Di dalamnya juga terdapat food court dan rumah makan. Salah satu alternatif berlibur di Kota Malang.;
kalo yang siangnya belum puas bermain, di malam hari BNS lah alternatifnya. banyak permainan juga disini. ada tempat makan juga serta tempat show juga...;
Tempat ini sangat disarankan untuk hiburan malam, meskipun hiburannya tdk tebilang murah tetapi tdk mahal jg, wahananya cukup byk dan menarik, yg paling berkesan dari BNS itu taman lampion.;
BNS yang buka mulai petang hari ini memiliki berbagai macam wahana yang cukup seru untuk kalangan anak-anak sampai orang tua, bagi kawula muda yang ingin berfoto romantis bisa masuk ke wahana lampu lampion. Selain wahana dan atraksi, terdapat juga foodcourt yang menawarkan berbagai jenis menu makanan dan camilan, untuk anda yang gemar shoping, terdapat juga pasar modern yang menjual berbagai macam souvenir khas BNS dan kota Batu. Tiket dijual per-wahana terpisah dengan tiket masuk.;
Saya ke sini kemarin bersama teman-teman, di sini hampir semua wahana saya naiki. Yang saya suka wahana yang sepeda udara. Dengan ini saya bisa melihat indahnya Kota Batu dengan udaranya yang dingin. Sayang saat memakai ini saya sendirian hihi. Terus sama go cart. Wisata ini bisa jadi salah satu referensi menikmati Kota Batu di malam hari;
BNS lebih merupakan arena hiburan anak, hampir sama dengan Jatim Park atau Wisata Bahari Lamongan, hanya luas lahannya jauh lebih sempit dan terkesan berdesak-desakan antar wahana. Namun lokasinya cukup strategis berada di tepi bukit menghadap ke bawah dengan pemandangan hijau perbukitan dan sawah. Berbagai wahana permainan anak tersedia di situ, dan tiap wahana harus bayar bila tak membeli tiket terusan. Uniknya disini adalah lampion yang terbentang di antara wahana. Selain itu juga terdapat pasar di halaman depan berjualan souvenir dan pernik-pernik lainnya. Di atas terdapat cafe monopoli tempat nangkring sekaligus tersedia pemandangan alam dan wahana BNS. Lokasinya tidak terlalu jauh dari pusat kota Batu dan Jatim Park 2.;
sama seperti dufan di jakarta, namun disini mulai buka dari sore hingga malam hari..ditemani dengan udara yang sejuk. tempat wisata yang sangat nyaman untuk liburan,;
Ingin melihat serunya BNS dari atas sambil sedikit merasakan sedikit sensasi adrenalin? coba deh wahana sepeda udara BNS. Kita bisa mengelilingi, melihat view BNS dalam satu frame. Kita juga bisa mengabadikan view tersebut dengan kamera, tapi harus berpasangan ya...biar ada yang mengemudikan sepeda udaranya :);
Batu Night Spectacular (BNS) buka mulai sore (jam 16.00) hingga malam hari (jam 22.00-23.00), bahkan apabila malam minggu atau malam hari libur buka sampai jam 24.00. Ini merupakan aneka wahana permainan untuk anak-anak, remaja, maupun orangtua. Yang mempunyai nilai jual disini bukan hanya aneka wahananya, tetapi cahaya lampu yang berbinar-binar aneka warna di tengah dinginnya malam, karena BNS terletak didaerah dataran tinggi sehingga dingin dan berkabut. Terkadang pada malam minggu atau libur ada live music juga. Pasar aneka kuliner maupun souvenir juga tersedia;
BNS salah satu lokasi wisata malam terkenal di kota Batu, Jawa Timur. Di dalamnya terdapat banyak pilihan wahana permainan dan juga hiburan. salah satu keromantisan tempat wisata ini adalah lampionnya. Sangat cocok rasanya menghabiskan malam romantis disini ditemani  dinginnya kota Batu.;
BNS merupakan surga pecinta nostalgia pasar malam. Cocok untuk usia diatas lima tahun sampai dewasa. Kalau anak suka main, lebih murah beli tiket terusan. Selamat bersenang-senang;
tempatnya kurang lebih seperti pasar malam, hanya saja dengan wahana yang lebih modern. wahana yang bagus cuma lampion, sisanya standar. siapkan uang lebih karena setiap wahana bayar lagi, bahkan untuk berfoto dengan patung atau dekorasinya ada yg harus bayar walaupun beberapa gratis.;
Saya ke Batu Night Spectacular pada saat study tour. Pertama saya naik ayunan yang sangat tinggi lalu diputar, setelah itu rodeo, rumah hantu, bom bom car.;
Jika anda sedang berlibur di Kota batu, pada malam harinya bisa berkunjung ke tempat ini. Tersedia wahana permainan yang lengkap untuk dewasa dan anak-anak. tapi sebaiknya anda berkunjung pada saat low season, supaya tidak berdesak-desakan dengan pengunjung lain.;
konsepnya cukup bagus hanya setelah masuk kawasan BNS masih harus bayar jika ingin main di wahananya. Sebagian besar relatif mahal dan tidak ada paket terusan.;
Cukup menarik dan murah...berbagai wahana tersedia. Pengunjung cukup padat dan parkir susah didapatkan. Jika telah seharian menjelajah jatim park dan masih punya tenaga buat jalan ...tinggal jalan kaki saja lanjut ke bns.;
Hiburan di malam hari tidak selalu ke diskotik... Di Batu-Jatim, justru ada objek wisata yang memang sengaja buka di malam hari. Banyak wahana yang bisa dimainkan dari usia anak - anak sampai dewasa. Untuk yang dewasa, ada roller coaster, go kart, rumah lampion, dan lain - lain. Untuk anak-anak juga banyak permainan. Yang perlu diperhatikan di sini, setiap wahana punya biaya sewa masing-masing... jadi lumayan perlu biaya besar untuk bisa main di semua wahana. Selepas selesai bermain di wahana BNS, ada food court dan tempat berbelanja souvenir sebelum pintu keluar, jadi buat oleh-oleh dari BNS bisa dicari semua di sini... Lokasi BNS sebetulnya tidak jauh dari lokasi Jatim Park 2, jadi yang menginap di Pohon Inn Jatim park 2 tetap ada kesempatan untuk berkunjung ke Objek wisata ini.;
saya mengunjungi lokasi ini dengan harapan yang terlampau tinggi. Namun yang saya lihat hanyalah tempat wisata malam dengan wahana yang tidak menarik untuk saya. hal yang cukup menarik adalah taman lampion yang juga nanggung bagi saya.;
cocok untuk berfoto dengan suasana banyak lampu dan menyenangkan. kurang cocok untuk batita ..lebih cocok untuk hiburan dengan anak yang dewasa;
Tempat wisata malan di Malang. Di tempat ini tersedia beberapa tempat bermain, seperti kursi terbang, gravitron (untuk merasakan gravitasi 3x lipat dari bumi), rumah hantu, taman lampion, dan kora-kora. Tips-nya jangan membeli tiket terusan yang ada di loket, karena menurut saya itu terlalu mahal dan tidak sebanding dengan wahana yang kita naiki. Lagipula tiket terusan itu juga memiliki beberapa batasan, seperti harus membayar lagi bila ingin menaiki wahana-wahana tertentu, dan tidak bisa menaiki satu wahana lebih dari satu kali. Jadi jika berkunjung ke sini, akan terasa seperti kembali ke masa-masa pasar malam lagi, hanya saja kali ini ditata dengan lebih rapi.;
"Konsepnya bagus sih ada banyak spot foto dengan menggunakan lampu yg bentuk nya beraneka ragam, tapi untuk permainanya terlalu biasa. Contoh seperti rumah hantu para hantunya make up nya seperti hantu dipasar"" malam";
Lokasinya sangat bagus, dimana lampion yg terdapat di taman sangat bagus dan indah di malam hari.. Sangat berkesan;
Berlokasi di daerah Batu Malang. Arena wisata ini buka sore hari. Tiket masuk cukup murah, tp lumayan ok untuk menghabiskan liburan yg berbeda. Kita akan disuguhkan  taman lampion aneka rupa, permainan2 mirip pasar malam, namun cukup lengkap. Semakin malam akan semakin seru, dengan berbagai macam permainan lampu dan lampion di  area yg cukup luas, banyak sudut untuk kita foto2. Ada jg restoran2, baik di dalam maupun di sekitar lokasi;
parkir sore hari agar mendapat tempat, kalau tidak risiko parkir jauh, sedia uang karena disetiap arena permainan membayar, tetapi sangat menyenangkan, variasi permainan dan kuliner sudah semakin banyak;
BNS buka dari jam 3 sore hingga tengah malam, tiket masuknya sendiri cukup murah hanya 30rb (weekend) dan ada juga tiket terusan untuk bermain wahana sepuasnya hanya 90rb. Jujur saya sendiri datang ke BNS hanya karena penasaran sama taman lampionnya. Kalo wahana2 lain, menurut saya hanya beberapa yang menarik, selebihnya biasa saja seperti wahana2 di pasar malam. Bioskop 4D dan Museum Trick Art nya patut dicoba, bagi yang suka horor silakan masuk ke rumah hantunya. Kalau berkunjung kesini, jangan lupa pake jaket tebal karena udaranya dingiinnn banget...;
hampir kesini sudah 2 kali. BNS terdapat atraksi atraksi yang lumayan asik.  BNS terdapat tempat makan atau foodcourt yang kemaren di tampilkan live concert music. sangat berkesan selain atraksinya.;
Hal yang menarik ketika saya berkunjung kesana adalah lampu lampu yang menyala dengan indah dan lampion lampion yang menarik untuk dilihat dan diabadikan di kamera tentunya. Berbagai wahana jg seru buat pemuda, remaja, maupun anak anak;
ada pertunjukan di food court berupa dance fountain,air mancur yang bergerak berirama sesuai hantakan musik,pertunjukan dilangit2 food court juga luar biasa,semakain bagus dan diperbaharui termasuk wahananya;
harganya terjangkau, areanya cukup luas. Wajib kalau ke daerah Batu untuk sekedar bermain di Batu Night Spectacular. Konsepnya sederhana, tapi kemasan areanya cukup menarik.;
BNS dibuka jam 3 sore, di sini terdapat wahana wahana permainan seperti Sepeda Gila, Gravitron, ada juga 3D Art dan Rumah Hantu. makanan di food court nya tidak menarik, wahana nya juga tampak sudah mulai tua, hanya beberapa wahana yang masih cukup menarik untuk di nikmati. disini terdapat area lampion namun tidak terlalu luas namun cukup untuk foto foto. untuk masuk ke area lampion perlu membeli tiket lagi. tempat ini lebih cocok untuk anak anak dan remaja.;
saya berhasil memberikan pengalaman anak saya di sini dengan naik sepeda gila, anak saya yang awalnya takut ketinggian menjadi pemberani. permainan tidak terlalu mahal, merger dengan perbelanjaan souvenir yang murah;
BNS Itu tempat hiburan malam seperti Dufan (Jakarta) yang enaknya dikunjungi di malam hari, karena dipenuhi dengan lampu-lampu & lampion - lampion. Ada beberapa jenis tiket, buat yang masuk saja tanpa bermain atau  tiket terusan untuk semuanya.  Ada tempat makan juga seperti food court dan pasar malam (menjual souvenir , kaos, dll).;
Seperti namanya batu night spectacular, taman bermain ini cocok dikunjungi malam hari sekitar pukul 6 . Lampu2 kota akan sangat menarik dan cantik. Belum lampion2 nya. HTM memang murah 25rb. Tapi untuk masuk area2nya perlu bayar lagiz;
untuk suasana bermain yang enak tempat ini cukup bagus dan semakin terkelola dengan baik. kesini selalu rame, sayangnya permainan yang diberikan belum tambh-tambah semenjak terakhir saya kesana.;
Saya suka dengan permainan anti gravitasinya yang belum pernah saya temui sebelumnya, permainan lainnya juga menarik. Makannannya enak serta acara panggungnya cukup bagus dengan permainan lampu dan airnya.;
Suasana malam yang sangat menyenangkan karena anda akan dihibur dengan tampilan cahaya dan air mancur dengan musik yang keren. Terdapat tampilan lampion yang sangat menarik di waktu malam. Untuk kualitas makanan di sanapun enak. Sangat baik bagi keluarga untuk mengunjungi tempat tersebut karena terdapat beberapa wahana untuk bisa dinikmati bersama anak-anak. Juga terdapat Tricky museum yang tidak kalah menarik dengan yang ada di luar negeri.;
BNS, taman hiburan di Kota Batu yang hanya buka di malam hari. Berbagai wahana disediakan di BNS. Favorit saya adalah sepeda layang dan taman lampion.;
saya datang ke BNS pada malam hari, suasana disana sangat bagus banyak lampu2 hias yg menerangi semua wahana permainan. udara disana juga sejuk. sama sperti namanya Batu Night Spectacular, jadi lebih bagus jika dikunjungi pada malam hari.;
Datangnya kalau malam saja, karena yg bagus disini adl lampionnya, value for money juga. Yang lainnya (wahana2nya) biasa saja.;
mungkin bisa mulai dipikirkan untuk memperluas area karena saat liburan hampir tidak ada ruang gerak;
"﻿""Setelah puas menikmati wahana yang menarik dan menyenangkan, kini saatnya Anda harus mampir terlebih dahulu ke toko-toko souvenir yang ada di BNS sebagai cideramata untuk keluarga, sahabat, atau sebagai kenangan bahwa Anda pernah berkunjung ke tempat ini.";
"Ada beragam souvenir cantik yang bisa anda pilih. Jadi harus menyiapkan budget lebih besar lagi ya supaya gak nyesel kalao ada barang yang gak bisa terbeli. Penasaran seperti apa tempatnya? Ayo buruan ajak keluarga atau sahabat anda untuk berkunjung ke Batu Night Spectacular... Happy Holiday ^_^""";
Buat kamu pecinta wahana-wahana, boleh dateng ke sini. Ada rumah hantu, ada tornado-tornadoan. Ada lampion gardennya juga. Tapi jangan berekspektasi terlalu tinggi ya. Tempatnya menurut saya biasa aja. Tapi memang bisa jadi penawar bosan kalau sedang ke Batu dan ga tahu musti ke mana malem-malem.;
wahana terkesan lama dan berbahaya. tiket masuk juga naik menjadi 25.000-30.000. kurang dapet feel serunya.;
Jika kangen dengan suasana pasar malam yang sudah jarang kita jumpai, bermainlah di Batu Night Spectacular (BNS) ini. Jika senang bermain, mungkin ini surga bagi Anda. Selain permainan, ada pula taman lampion, yaitu aneka jenis objek yang dihiasi oleh lampion. Tidak gratis masuk ke sini, ada 3 pilihan berbayar masuk ke sini, hanya tiket masuk (bayar lagi untuk permainan di dalamnya), terusan (bebas mencoba segala permainan) atau pakai kartu sakti, yaitu tiket yang bisa dipakai untuk masuk ke semua wahana Jawa Timur Park.;
Sebelumnya sudah sering kesini. Hawanya dingin dan segar. Wahana cukup bervariasi dan terus bertambah. Tapi kemarin terakhir kesana sudah ada tiket terusan dan diskon pula, jadi lebih murah..;
tempat ini hanya buka pada sore hari sampai tengah malam, suasananya seperti pasar malam, harga masuknya 15.000 dan jika ingin menaiki permainan lain harus membayar lagi. Ada taman lampion yang sangat indah, cuacanya cukup adem dan jika berkunjung bulan januari sering hujan. saya 2 kali kesini pada bulan januari dan selalu hujan. disaranin bawa payung, anginnya sangat sejuk. Disini juga ada tempat makan yang harganya tidak terlalu mahal. Permainannya pun seru-seru.;
Hanya buka pada malam hari, lokasinya lumayan jauh juga dari kota malang. permainan yang ada lebih cocok untuk anak remaja. Jangan lupa untuk mengunjungi taman lampionnya.;
saya ke BNS bersama keluarga, malam itu cerah jadi bisa melihat bintang.kami paling suka menikmati orang-orang yang bermain kereta gantung sambil berteriak-teriak.Tapi yang membuat bosan adalah jalan yang kami tempuh macet  ya itu mungkin karena musim liburan, dan yang paling susah cari tem[pat parkir karena tempat parkirnya terbatas. yang paling enak bisa makan jagung bakar dan bakso di pedagang asongan.murah meriah dan nikmat sekali;
fasilitasnya agak kurang bersih, tiap masuk wahana bayar namun tiket masuknya semakin lama semakin tidak sesuai.. cukup masuk 1x selama beberapa tahun ke depan.. kurang worthed dibanding tempat lainnya;
Menurut saya kurang efektif karna tiket masuk dan tiket wahana dijual terpisah. Untuk masuk galleria pun kita harus membayar lagi. Lokasi tidak begitu luas seperti jatimpark, namun ada cukup wahana disana. Alangkah baiknya sedia jaket atau pakaian yg hangat lainnya untuk melindungi tubuh dr dinginnya kota batu.;
Bila anda menginap di kota Batu , Malang . Anda harus mengunjungi BNS . Karena selain tiketnya terjangkau dan tidak terlalu mahal . Banyak wahana permainan yang menarik dan patut dicoba. Bila anda ingin bermain sampai puas . Lebih baik membeli tiket terusan karna lebih hemat . Sebaiknya anda datang agak sore karna anda bisa lebih banyak waktu untuk bermain didalam . Makanan di sini juga tidak terlalu mahal dan lumayan enak.  Wahana yang patut dicoba seperti sepeda udara , foto trick art 3D , lampion garden , cinema 4D , rumah hantu , dll. Sebaiknya bila ingin mengunjungi wahana lampion garden dan trick art 3D anda bisa membawa kamera dengan memory card yang cukup dan untuk lampion garden membawa kamera SLR . Karena bila kamera biasa hasilnya gelap dan tidak terlalu bagus .;
Wahana yang cukup bagus dan banyak. Sayang banyak yang kurang terawat padahal permainannya cukup ekstrim dan menantang. Tiket masuk sangat murah, lokasi mudah ditemukan;
Kota Wisata Batu memang setia memberikan tawaran hiburan yang menarik bagi wisatawan, bahkan saat malam telah menjelang. Wisatawan tidak perlu bingung ingin kemana saat malam hari. Coba saja datang dan seru-seruan di Batu Night Spectacular. Biaya masuknya cukup murah, hanya cukup mengeluarkan uang sebesar Rp20.000 kita sudah bisa masuk dan menikmati suasana taman hiburan malam. Beragam wahana disediakan disini dari yg ekstrim, seru, menyenangkan, dan juga bernuansa romantis! Kalau berkunjung kesini jangan lupa mampir di Lampion Gardennya! Sayangnya saya belum sempat ke wahan Art Trik nya. Masih banyak lagi wahana lainnya seperti gravitron, cinema 4D, baby wheel, avatar, fountain, mini marry go-round, dll. Tapi yang sangat disayangkan untuk masuk ke wahana-wahana ini kita masih harus mengeluarkan biaya lagi. Jadi kalau kita ingin mencoba seluruh wahana dibutuhkan biaya lebih lagi.;
bagus sih tapi pilihan wahananya masih kurang variatif dan wahananya kalo bisa diperbanyak lagi dan fasilitasnya diperbaiki lebih baik lagi.;
Kalo kesini wajib cobain cinema 4D, soalnya  di tempat widata dimalang sepertinya cuma ada disini . Walaupun hanya 15 sampai 20 menit, tapj seru banget;
Tempat ini salah satu objek di batu ,selain udara yang sejuk di objek ini cocok banget untuk kunjungan keluarga apalagi yang mempunyai anak kecil ,karena disana banyak permainan yang sangat menyenangkan , harus banget kunjungi kesana , biaya masuknya juga terjangkau kok ,,bagus banget lagi dengan cahaya lampu yang warna-warni.;
Ini salah satu tempat wisata yang dibuka hingga tengah malam. Wahana yang paling menarik ya lampion garden. Lampu-lampu dengan berbagai macam bentuk yang akan menambah keromantisan wisata ini.;
Pengalaman menarik kalau ke Malang. Sebaiknya membei tiket terusan seharga 275ribu yang termasuk untuk Jatim Park 1, Jatim Park 2 dan Museum Angkut.;
dengan udara batu yang dingin pada malam hari, tempat ini menjadi salah satu pilihan yang patut dipertimbangkan. banyak wahana2 yang memicu adrenalin seperti sepeda terbang, tornado, rumah hantu, tembak laser sampai bioskop 4D. untuk anak2, juga terdapat wahana2 yang cukup menarik. terdapat arena tembak bola yang cukup seru juga area bermain untuk anak2 kecil dalam profesi, seperti dapur memasak, drum dgn stage dan kostum2. sayangnya, untuk menikmati semua wahana ini cukup mahal. kita harus membayar karcis masuk dan di tiap2 wahana. juga, foodcourtnya tidak terlalu menarik. beberapa makanan yang kami coba sangat standart. namun, ketika berjalan untuk keluar agak terhibur dengan dereta kios2 yang ada, yang bisa menjadi tempat untuk berbelanja oleh2 dengan harga murah. ;
tempat wisata ini merupakan arena permainan lampu2 jadi banyak lampion2 berbentuk binatang atau bunga dan benda lain yg terbuat dari lampion . ada juga tempat makan, bioskop 4D dan museum 3D. bisa dicoba bagi anda yg suka tempat wisata malam hari.;
Batu Night Spectacular ( BNS ) terletak jalan oro-oro ombo di depan atau seberang Rumah Sosis Batu. Tempatnya untuk permainan wahana yang sederhana waktu malam hari begitu udara sangat dingin, cocok untuk keluarga.;
tempat yang cocok untuk menikmati malam di kota batu.. kalau tidak salah ingat biatya masuknya 14rb/ orang.. di dalam nya ada museum trick art loh lumayan buat bernarsis ria..tapi untuk museum trick art ini bayar lagi 15rb .. but its okelahh .. kalo udah ke batu jgn lp mampir ke sini guys :D;
Dari ketinggian di bns, suasana malam kota malang terlihat spektakular dengan gemerlap lampu2 yang indah,dengan taman lampionnya yang menarik sbg Obyek foto;
Buka mulai jam 5 sore sampai 11 malam, cocok buat anak sd sampai dewasa, tidak cocok anak usai balita, karena lokasi dingin, permainan anak balita terbatas. lokasi tidak terlalu luas kira2 ada 25 permainan saja dan harga permainan bayar sendiri diluar tiket masuk sebesar 20 ribu weekday. cukup mahal untuk aneka permainan yang sederhana saja,;
jika malam hari tidak ada kegiatan cobalah berkunjung kesini. wisata keluarga ysng menyenangkan dengan permainan2 anak2 dan dewasa,ada film 4 dimensi, sayang tidak menyediakan tiket terusan,jadi lumayan butuh bajet yg banyak untuk bisa menjajal semua permainan. wisata outdoor jadi sedia payung jika hujan dan jaket ,dinginnnn hawanya;
oke banget bns, sayang hanya buka malam sesuai nama, jadi anak2 kurang maksimal menikmati hiburan di sana;
tempat berbagai wahana permainan untuk segala usia. bagus, dan ramai apalagi waktu liburan dan weekend. pergi ke sini pada waktu sore hari sampai malam. ada tempat yang isinya objek objek yang dibuat dari semacam kertas dan diterangi lampu. bagus;
jika saya liburan ke batu tidak lupa saya mampir ketempat ini, taman lampion sangat bagus disini, banyak cahaya lampu dimana2, satu yang oke adalah pertunjukan tarian air mancur,biaya masuknya pun relatif murah.;
Malem2 kesini seru bgt!! Mainan banyak.. Cocok bt anak2 n remaja... Mainanx banyak yg seru2.. Harus coba deh dateng kesini.. :);
tempatnya cocok utk main dan jalan-jalan saat sore menjelang malam. permainannya tidak terlalu ekstrim dan cocok utk membawa anak-anak kesini;
Kami sangat terhibur di tempat ini, sekalipun kami berangkat dari Surabaya kesiangan, pas sampai di Batu tepat sore hari, ketika BNS baru buka. Dengan biaya masuk sekitar Rp. 30rb per orang dan harga permainan yang mengasyikan hanya berkisar 10rb-15rb per wahana. Di dalamnya juga ada Food court serta sentra suvernir khas Batu. Yang enak di Resto Monopoly.;
tempatnya bagus, suasana batu dingin dengan wahana permainan yang hampir smua memacu adrenaline. cocok untuk anak muda dan dewasa. tapi ga cocok untuk family traveler yang memiliki anak balita..;
sambil menikmati malam di batu ,,keindahan batu di malam hari bisa dirasakan disini,alangkah baiknya pergi ksini bersama teman2 sambil melepas stress yang ad.;
Jika anda menyukai pasar malam, disini anda akan menemukan versi modernyya, wahana permainan yang ada cukup menghibur dan pasar oleh oleh yang ada cukup lengkap dan murah,;
Tempat yang indah dan tempat berkumpul bersama keluarga, teman dan saudara. Dengan lampu-lampu yang indah menambah semarak dan membuat semakin betah untuk menghabiskan malam di BNS;
